Wall time,Step,Value
1555909795.4906437,1314000,0.040636301040649414
1555909801.8947155,1316000,-0.3886875808238983
1555909827.3512874,1324000,0.23044994473457336
1555909846.5504904,1330000,-0.8190000653266907
1555909871.7564964,1338000,-0.5469286441802979
1555909890.8516045,1344000,-0.5332143306732178
1555909897.2246666,1346000,-0.06377783417701721
1555909903.5928166,1348000,-0.07195006310939789
1555909910.1447716,1350000,0.13453567028045654
1555909916.531748,1352000,0.01599992997944355
1555909929.2665093,1356000,0.27734610438346863
1555909935.6436434,1358000,0.04093746468424797
1555909941.9848921,1360000,-0.3916500508785248
1555909954.6897962,1364000,-0.007150066085159779
1555909961.1082761,1366000,-0.0839666947722435
1555909967.2944272,1368000,0.15608328580856323
1555909973.6587653,1370000,-0.6734000444412231
1555909986.34938,1374000,-0.26356256008148193
1555909999.1251373,1378000,0.5469499230384827
1555910005.4777796,1380000,-0.4877500534057617
1555910050.102505,1394000,-0.41600003838539124
1555910069.4236486,1400000,0.3767499327659607
1555910075.6301873,1402000,-0.1417083740234375
1555910082.0312145,1404000,0.41844111680984497
1555910094.786044,1408000,0.10374993085861206
1555910113.9951243,1414000,0.5320262908935547
1555910126.723513,1418000,0.4022999405860901
1555910139.5455365,1422000,0.5448213815689087
1555910165.2907856,1430000,0.43660521507263184
1555910191.0224252,1438000,-0.062346201390028
1555910210.034155,1444000,0.3716817796230316
1555910216.4620585,1446000,0.6434285044670105
1555910222.845454,1448000,0.307227224111557
1555910229.3816168,1450000,0.4713436961174011
1555910235.8985684,1452000,0.17034609615802765
1555910267.958237,1462000,0.3452618718147278
1555910306.159446,1474000,0.28902772068977356
1555910318.9473786,1478000,0.5344473123550415
1555910325.3291028,1480000,0.32864701747894287
1555910331.7680051,1482000,0.18549993634223938
1555910350.914164,1488000,0.30828121304512024
1555910370.1217072,1494000,0.5292044878005981
1555910376.5541966,1496000,0.13616660237312317
1555910395.926759,1502000,0.5444473028182983
1555910402.2677796,1504000,0.56333327293396
1555910408.4279697,1506000,0.5576943755149841
1555910421.1533368,1510000,0.55507493019104
1555910433.9168677,1514000,0.4484999477863312
1555910472.2671747,1526000,0.3774523437023163
1555910491.341769,1532000,0.6757380366325378
1555910497.6719122,1534000,0.5210967063903809
1555910516.7972777,1540000,0.5041249394416809
1555910523.1776469,1542000,0.69176185131073
1555910529.3020537,1544000,0.5351249575614929
1555910542.0666783,1548000,0.5956578254699707
1555910548.549597,1550000,0.5941999554634094
1555910586.7484734,1562000,0.5051175951957703
1555910612.1304548,1570000,0.5489615201950073
1555910618.4963508,1572000,0.09786108881235123
1555910631.1954565,1576000,0.6484999656677246
1555910643.7318227,1580000,0.3710881769657135
1555910656.4772253,1584000,0.3871956169605255
1555910662.821474,1586000,0.2003888487815857
1555910669.218237,1588000,0.0225526075810194
1555910675.5368235,1590000,0.2947142422199249
1555910681.969494,1592000,0.6651851534843445
1555910700.9658785,1598000,0.7800332903862
1555910713.8923118,1602000,0.6919713616371155
1555910726.4757428,1606000,0.7682236433029175
1555910745.5767078,1612000,0.4459264278411865
1555910757.9841142,1616000,0.6344713568687439
1555910764.3542638,1618000,0.38778841495513916
1555910770.6565008,1620000,0.6318147778511047
1555910796.0262496,1628000,0.680270254611969
1555910808.7538877,1632000,0.7115675210952759
1555910815.0608325,1634000,0.7259999513626099
1555910827.7139559,1638000,0.5371166467666626
1555910846.7113485,1644000,0.6229116916656494
1555910871.99455,1652000,0.8017678260803223
1555910890.9811683,1658000,0.7898280620574951
1555910909.9645798,1664000,0.661741316318512
1555910916.2546654,1666000,0.542449951171875
1555910928.9472692,1670000,0.6697940826416016
